element_name,symbol,atomic_number,atomic_radius_pm,first_ionization_energy_kJ_per_mol
Helium,He,2,31,2372
Neon,Ne,10,38,2081
Argon,Ar,18,71,1521
Krypton,Kr,36,88,1351
Xenon,Xe,54,108,1170
Radon,Rn,86,120,1037
Oganesson,Og,118,135,920
